Tm,G,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Arizona Cardinals,16,396,1990,109,1289,3.3,701,1.8,23,17.2
Atlanta Falcons,16,362,1361,84,801,2.2,560,1.5,17,21.3
Baltimore Ravens,16,596,3296,188,1936,3.2,1360,2.3,32,18.6
Buffalo Bills,16,465,2054,120,1030,2.2,1024,2.2,40,11.6
Carolina Panthers,16,386,1819,82,1205,3.1,614,1.6,21,18.4
Chicago Bears,16,395,1458,85,893,2.3,565,1.4,41,9.6
Cincinnati Bengals,16,385,1517,85,714,1.9,803,2.1,31,12.4
Cleveland Browns,16,393,1901,90,851,2.2,1050,2.7,39,10.1
Dallas Cowboys,16,449,2153,120,1041,2.3,1112,2.5,41,11
Denver Broncos,16,409,1662,76,963,2.4,699,1.7,40,10.2
Detroit Lions,16,407,1649,82,855,2.1,794,2,25,16.3
Green Bay Packers,16,411,1795,90,1027,2.5,768,1.9,39,10.5
Houston Texans,16,434,2009,112,1147,2.6,862,2,33,13.2
Indianapolis Colts,16,471,2130,131,1188,2.5,942,2,27,17.4
Jacksonville Jaguars,16,389,1708,84,694,1.8,1014,2.6,20,19.5
Kansas City Chiefs,16,375,1569,93,807,2.2,762,2,28,13.4
Los Angeles Chargers,16,366,1453,90,704,1.9,749,2,24,15.3
Los Angeles Rams,16,401,1499,92,867,2.2,632,1.6,41,9.8
Miami Dolphins,16,349,1156,64,604,1.7,552,1.6,17,20.5
Minnesota Vikings,16,476,2133,106,1067,2.2,1066,2.2,38,12.5
New England Patriots,16,447,1703,110,991,2.2,712,1.6,28,16
New Orleans Saints,16,405,1738,97,961,2.4,777,1.9,43,9.4
New York Giants,16,362,1685,89,871,2.4,814,2.2,19,19.1
New York Jets,16,383,1257,61,536,1.4,721,1.9,21,18.2
Oakland Raiders,16,437,1893,104,942,2.2,951,2.2,31,14.1
Philadelphia Eagles,16,454,1939,104,1044,2.3,895,2,31,14.6
Pittsburgh Steelers,16,395,1447,75,571,1.4,876,2.2,20,19.8
San Francisco 49ers,16,498,2305,110,1472,3,833,1.7,29,17.2
Seattle Seahawks,16,481,2200,121,1125,2.3,1075,2.2,38,12.7
Tampa Bay Buccaneers,16,409,1521,81,746,1.8,775,1.9,35,11.7
Tennessee Titans,16,445,2223,104,940,2.1,1283,2.9,40,11.1
Washington Redskins,16,356,1583,74,680,1.9,903,2.5,15,23.7
